date,sampling_role,matched_pair_id,matched_date,divergence
20260317,high_residual_case,M0373,20260316,4.85
20260401,high_residual_case,M0394,20260410,-2.81
20260403,high_residual_case,M0395,20260402,-2.43
20260408,high_residual_case,M0396,20260413,3.54
20260414,high_residual_case,M0397,20260409,4.48
20260416,high_residual_case,M0398,20260417,2.14
20260421,high_residual_case,M0399,20260420,-2.4
20260427,high_residual_case,M0400,20260424,3.27
20260428,high_residual_case,M0401,20260423,2.19
20260429,high_residual_case,M0431,20260506,2.86
20260430,high_residual_case,M0432,20260515,1.86
20260504,high_residual_case,M0433,20260518,5.66
20260507,high_residual_case,M0434,20260514,-2.32
20260508,high_residual_case,M0435,20260422,-1.98
20260511,high_residual_case,M0436,20260406,-3.15
20260512,high_residual_case,M0437,20260415,-2.79
20260513,high_residual_case,M0438,20260323,-1.86
20260526,high_residual_case,M0403,20260527,-5.95
20260529,high_residual_case,M0405,20260618,-2.21
20260602,high_residual_case,M0406,20260617,7.3
20260604,high_residual_case,M0407,20260519,3.7
20260605,high_residual_case,M0408,20260520,2.2
20260608,high_residual_case,M0409,20260306,-3.58
20260609,high_residual_case,M0374,20260611,-2.11
20260612,high_residual_case,M0375,20260610,8.3
20260615,high_residual_case,M0376,20260626,-2.26
20260616,high_residual_case,M0410,20260312,2.18
20260619,high_residual_case,M0411,20260313,1.81
20260624,high_residual_case,M0378,20260724,-2.77
20260625,high_residual_case,M0379,20260720,-7.32
20260629,high_residual_case,M0380,20260318,-2.99
20260630,high_residual_case,M0381,20260319,2.65
20260703,high_residual_case,M0383,20260702,-6.51
20260706,high_residual_case,M0384,20260309,-2.59
20260707,high_residual_case,M0413,20260407,-3.33
20260710,high_residual_case,M0414,20260708,6.45
20260713,high_residual_case,M0385,20260714,-2.48
20260721,high_residual_case,M0387,20260325,2.46
20260723,high_residual_case,M0388,20260324,-5.5
20260727,high_residual_case,M0389,20260311,-4.35
20240102,matched_low_control,M0264,20240731,-0.31
20240104,matched_low_control,M0189,20240103,-0.87
20240105,matched_low_control,M0214,20240418,-1.04
20240108,matched_low_control,M0190,20240109,-0.16
20240110,matched_low_control,M0215,20240419,-0.47
20240111,matched_low_control,M0216,20240422,-0.13
20240112,matched_low_control,M0194,20240125,0.49
20240116,matched_low_control,M0268,20241106,-0.98
20240117,matched_low_control,M0191,20240118,-1.11
20240119,matched_low_control,M0217,20240423,0.51
20240124,matched_low_control,M0192,20240122,-1.57
20240126,matched_low_control,M0193,20240123,1.71
20240130,matched_low_control,M0231,20241114,0.65
20240205,matched_low_control,M0195,20240202,1.2
20240215,matched_low_control,M0160,20240214,-1.54
20240220,matched_low_control,M0201,20240223,-0.39
20240221,matched_low_control,M0199,20240216,1.19
20240222,matched_low_control,M0200,20240219,1.16
20240227,matched_low_control,M0202,20240226,1.08
20240305,matched_low_control,M0203,20240228,1.06
20240307,matched_low_control,M0238,20240306,0.27
20240308,matched_low_control,M0253,20240626,0.23
