date,skq_ret,hynix_ret,nav_total_trillion,nav_implied_ret,divergence,nav_discount_pct,nav_discount_delta,sector_semiconductor,kospi_ret,usd_krw,foreign_net,institution_net,shorting_balance,shorting_balance_ratio,shorting_volume_ratio,shorting_balance_change,fut_listed,fut_basis,fut_basis_pct,fut_volume,foreign_own_pct,individual_net,nav_total_trillion_v1,nav_implied_ret_v1,divergence_v1,nav_discount_pct_v1,nav_discount_delta_v1,nav_implied_ret_raw,nav_per_share,skq_shares_v2,skq_ret_v1
20220111,-0.52,2.81,26.21,1.97,-2.49,69.1,0.8,-0.2,0.02,1200.0,-20230370500.0,1470180500.0,59436.0,0.04,1.85,11828.0,0.0,,,,37.84375,18046029500.0,24.02,2.15,-2.67,68.6,0.9,1.97,185292.0,141467571.0,-0.52
20220112,3.85,0.39,26.29,0.31,3.54,68.0,-1.1,2.2,1.54,1195.2,-9594693100.0,6129910600.0,73091.0,0.05,3.21,13655.0,0.0,,,,37.59375,3728250200.0,24.11,0.35,3.5,67.5,-1.1,0.31,185860.0,141467571.0,3.85
20220113,-2.36,0.78,26.43,0.51,-2.87,69.0,0.9,-0.35,-0.35,1189.9,-13003842300.0,-2483285500.0,60647.0,0.04,14.12,-12444.0,0.0,,,,37.46875,15260790400.0,24.26,0.63,-2.99,68.4,0.9,0.51,186802.0,141467571.0,-2.36
20220114,1.72,-0.77,26.3,-0.49,2.21,68.3,-0.7,0.72,-1.36,1188.2,4335642600.0,-3262142000.0,35095.0,0.02,4.75,-25552.0,0.0,,,,37.3125,-1580330400.0,24.1,-0.64,2.36,67.7,-0.7,-0.49,185895.0,141467571.0,1.72
20220117,0.51,-1.17,26.01,-1.11,1.62,67.7,-0.5,0.46,-1.09,1187.6,3372634500.0,-2057000900.0,37465.0,0.03,2.72,2370.0,0.0,,,,37.375,-1348347100.0,23.88,-0.92,1.43,67.2,-0.5,-1.11,183827.0,141467571.0,0.51
20220118,6.07,-0.39,25.91,-0.35,6.42,65.7,-2.1,-0.53,-0.89,1192.3,34973324300.0,5001656300.0,24462.0,0.02,6.38,-13003.0,0.0,,,,37.34375,-37648065400.0,23.8,-0.35,6.42,65.1,-2.1,-0.35,183177.0,141467571.0,6.07
20220119,-0.95,0.4,25.96,0.19,-1.14,66.0,0.4,-1.54,-0.77,1188.9,-2931008000.0,2006500600.0,23198.0,0.02,3.02,-1264.0,0.0,,,,37.71875,858432300.0,23.86,0.28,-1.23,65.5,0.4,0.19,183518.0,141467571.0,-0.95
20220120,0.32,-1.57,25.67,-1.11,1.43,65.6,-0.5,0.82,0.72,1191.8,-6299486600.0,698872700.0,19564.0,0.01,5.16,-3634.0,0.0,,,,37.71875,5595436600.0,23.58,-1.2,1.52,65.0,-0.5,-1.11,181487.0,141467571.0,0.32
20220121,-2.72,-4.8,24.78,-3.49,0.77,65.3,-0.3,-2.58,-0.99,1190.4,-3148119800.0,403865400.0,37111.0,0.03,4.25,17547.0,0.0,,,,37.625,3256247200.0,22.69,-3.76,1.04,64.6,-0.4,-3.49,175161.0,141467571.0,-2.72
20220124,-2.63,0.0,24.74,-0.14,-2.49,66.2,0.9,0.5,-1.49,1193.6,5704463700.0,1089804700.0,38059.0,0.03,3.66,948.0,0.0,,,,37.59375,-7018994800.0,22.68,-0.04,-2.59,65.5,0.9,-0.14,174909.0,141467571.0,-2.63
20220125,-4.22,-0.84,24.57,-0.71,-3.51,67.4,1.2,-0.97,-2.56,1194.2,-10462842200.0,-170959000.0,33793.0,0.02,3.0,-4266.0,0.0,,,,37.65625,9685337400.0,22.53,-0.68,-3.54,66.8,1.3,-0.71,173665.0,141467571.0,-4.22
20220126,0.88,-0.42,24.5,-0.28,1.16,67.0,-0.4,-0.88,-0.41,1197.8,32423900.0,1692368900.0,60798.0,0.04,3.72,27005.0,0.0,,,,37.53125,-1948104500.0,22.46,-0.32,1.2,66.4,-0.4,-0.28,173173.0,141467571.0,0.88
20220127,-4.2,-3.4,23.88,-2.51,-1.69,67.5,0.6,-2.85,-3.5,1197.0,-8197734800.0,-6973968200.0,59534.0,0.04,3.74,-1264.0,0.0,,,,37.53125,14054381300.0,21.86,-2.63,-1.57,66.9,0.5,-2.51,168826.0,141467571.0,-4.2
20220128,0.36,6.17,24.95,4.46,-4.1,68.8,1.3,3.04,1.87,1202.4,-16980294400.0,1342615500.0,53688.0,0.04,2.7,-5846.0,0.0,,,,37.4375,14210821100.0,22.9,4.72,-4.36,68.3,1.4,4.46,176361.0,141467571.0,0.36
20220203,2.18,,25.48,2.11,0.07,68.8,-0.0,,,1205.7,65610500.0,-912042300.0,,,,,0.0,,,,37.21875,708822200.0,23.41,,,68.3,,2.11,180079.0,141467571.0,
20220204,1.25,0.4,25.54,0.27,0.98,68.5,-0.3,0.88,1.57,1205.4,-5863783000.0,4291282600.0,53716.0,0.04,0.66,,0.0,,,,37.28125,1537849700.0,23.49,0.33,0.92,68.0,-0.3,0.27,180568.0,141467571.0,1.25
20220207,2.28,-1.2,25.32,-0.86,3.14,67.5,-1.0,-1.36,-0.19,1199.5,2110124300.0,-4284580000.0,53002.0,0.04,0.95,-714.0,0.0,,,,37.1875,2139890600.0,23.27,-0.94,3.22,67.0,-1.0,-0.86,179007.0,141467571.0,2.28
20220208,0.69,1.63,25.61,1.15,-0.46,67.6,0.2,-1.36,0.05,1199.4,5983728800.0,3964952000.0,73518.0,0.05,3.71,20516.0,0.0,,,,37.21875,-9682997000.0,23.56,1.26,-0.57,67.1,0.1,1.15,181062.0,141467571.0,0.69
20220209,2.05,0.8,25.77,0.62,1.43,67.2,-0.5,1.07,0.81,1197.8,12882723200.0,1476912100.0,58588.0,0.04,2.61,-14930.0,0.0,,,,37.3125,-14548229000.0,23.71,0.66,1.39,66.7,-0.4,0.62,182183.0,141467571.0,2.05
20220210,-4.52,2.78,26.27,1.93,-6.45,69.2,2.1,-0.11,0.11,1196.0,4039068400.0,-9447080800.0,54796.0,0.04,1.14,-3792.0,0.0,,,,37.4375,6270094100.0,24.22,2.13,-6.65,68.9,2.2,1.93,185707.0,141467571.0,-4.52
20220211,-0.53,1.93,26.61,1.29,-1.82,69.8,0.5,-1.39,-0.87,1196.0,5722193700.0,-3327912400.0,70908.0,0.05,2.59,16112.0,0.0,,,,37.5,-2179095700.0,24.58,1.48,-2.01,69.5,0.6,1.29,188096.0,141467571.0,-0.53
20220214,-3.87,0.38,26.66,0.17,-4.04,71.0,1.2,-2.23,-1.57,1199.6,2326539000.0,-662107400.0,77860.0,0.06,2.81,6952.0,0.0,,,,37.625,-1087466000.0,24.64,0.27,-4.14,70.7,1.2,0.17,188420.0,141467571.0,-3.87
20220215,-5.31,-4.15,25.83,-3.1,-2.21,71.7,0.7,0.04,-1.03,1198.3,-4523247500.0,-21557021600.0,77535.0,0.05,2.39,-325.0,0.0,,,,37.65625,25319984500.0,23.83,-3.29,-2.02,71.3,0.6,-3.1,182573.0,141467571.0,-5.31
20220216,5.8,2.76,26.37,2.11,3.69,70.7,-1.0,2.83,1.99,1198.5,21484193700.0,-1468063300.0,74375.0,0.05,3.02,-3160.0,0.0,,,,37.59375,-20187868000.0,24.35,2.18,3.62,70.3,-1.0,2.11,186430.0,141467571.0,5.8
20220217,-0.91,1.92,26.74,1.37,-2.28,71.3,0.7,0.6,0.53,1196.9,12543941400.0,-5966842200.0,71269.0,0.05,0.27,-3106.0,0.0,,,,37.875,-6428001800.0,24.72,1.5,-2.41,71.0,0.7,1.37,188990.0,141467571.0,-0.91
20220218,0.0,-1.13,26.53,-0.77,0.77,71.1,-0.2,-0.03,0.02,1197.1,-424936000.0,-767760400.0,71149.0,0.05,1.11,-120.0,0.0,,,,38.0625,1191090900.0,24.51,-0.84,0.84,70.8,-0.2,-0.77,187541.0,141467571.0,0.0
20220221,2.95,-1.14,26.31,-0.82,3.77,70.0,-1.1,-0.52,-0.03,1196.4,12781931900.0,142186400.0,70965.0,0.05,2.86,-184.0,0.0,,,,38.0625,-12872824000.0,24.29,-0.89,3.84,69.7,-1.1,-0.82,186006.0,141467571.0,2.95
20220222,-1.25,-1.15,26.07,-0.94,-0.31,70.1,0.1,-1.28,-1.35,1194.6,12524219200.0,-4007825000.0,72895.0,0.05,4.28,1930.0,0.0,,,,38.1875,-8131920200.0,24.06,-0.94,-0.31,69.8,0.1,-0.94,184259.0,141467571.0,-1.25
20220223,4.72,0.0,26.06,-0.01,4.73,68.7,-1.4,1.9,0.47,1194.7,23626883100.0,-2999684000.0,88347.0,0.06,8.42,15452.0,0.0,,,,38.375,-18410828100.0,24.07,0.02,4.7,68.3,-1.5,-0.01,184237.0,141467571.0,4.72
20220224,-4.16,-4.67,25.16,-3.46,-0.7,68.9,0.2,-2.41,-2.6,1192.1,28622800.0,-3117687700.0,96078.0,0.07,7.28,7731.0,0.0,,,,38.65625,3063043500.0,23.18,-3.68,-0.48,68.5,0.2,-3.46,177862.0,141467571.0,-4.16
20220225,3.62,0.41,25.25,0.34,3.28,67.9,-1.0,2.56,1.06,1199.4,23023077900.0,-6060677400.0,105015.0,0.07,4.62,8937.0,0.0,,,,38.65625,-15299460300.0,23.26,0.33,3.29,67.5,-1.0,0.34,178465.0,141467571.0,3.62
20220228,-2.62,0.41,25.32,0.29,-2.91,68.8,0.9,0.69,0.84,1202.7,18053724000.0,-27255407400.0,117752.0,0.08,7.2,12737.0,0.0,,,,38.9375,9898492500.0,23.33,0.32,-2.94,68.4,0.9,0.29,178986.0,141467571.0,-2.62
20220302,-3.05,,25.55,0.91,-3.96,70.0,1.2,,,1205.6,-9271819300.0,-16273391300.0,290020.0,0.21,4.75,172268.0,0.0,,,,39.1875,25364680600.0,23.55,,,69.7,,0.91,180621.0,141467571.0,
20220303,1.85,3.2,26.15,2.33,-0.48,70.2,0.1,1.53,1.61,1205.0,3476547800.0,-5074254200.0,356632.0,0.25,22.79,,0.0,,,,39.09375,1019941700.0,24.14,2.5,-0.65,69.9,0.2,2.33,184823.0,141467571.0,1.85
20220304,-3.81,-3.49,25.49,-2.5,-1.31,70.6,0.4,-1.01,-1.22,1203.6,-17759921800.0,-10984964100.0,314385.0,0.22,20.0,-42247.0,0.0,,,,39.125,27293576600.0,23.48,-2.72,-1.09,70.2,0.3,-2.5,180195.0,141467571.0,-3.81
20220307,-4.34,-4.02,24.73,-2.98,-1.36,71.0,0.4,-1.95,-2.29,1211.5,-23086685300.0,-11196302300.0,327381.0,0.23,10.46,12996.0,0.0,,,,38.8125,32707627400.0,22.76,-3.1,-1.24,70.6,0.4,-2.98,174827.0,141467571.0,-4.34
20220308,-2.86,-1.26,24.51,-0.89,-1.97,71.6,0.6,-0.79,-1.09,1225.4,-9202801000.0,-5255785650.0,293067.0,0.21,9.22,-34314.0,0.0,,,,38.5,13913820850.0,22.53,-0.99,-1.87,71.1,0.5,-0.89,173270.0,141467571.0,-2.86
20220310,5.38,,24.82,1.24,4.14,70.4,-1.2,,,1234.5,21583526100.0,-2385489200.0,368577.0,0.26,4.53,75510.0,0.0,,,,38.375,-19443618000.0,22.83,,,70.0,,1.24,175423.0,141467571.0,
20220311,-0.96,-2.5,24.38,-1.74,0.78,70.2,-0.2,-0.76,-0.71,1228.7,7834747600.0,-9985557000.0,237150.0,0.17,7.68,,0.0,,,,38.65625,2405609900.0,22.4,-1.86,0.9,69.7,-0.3,-1.74,172364.0,141467571.0,-0.96
20220314,1.56,-0.85,24.22,-0.66,2.22,69.5,-0.7,-2.07,-0.59,1232.4,4714308200.0,336312300.0,240277.0,0.17,4.97,3127.0,0.0,,,,38.78125,-4797285300.0,22.25,-0.67,2.23,69.0,-0.7,-0.66,171228.0,141467571.0,1.56
20220315,-1.72,-3.02,23.71,-2.12,0.4,69.4,-0.1,-2.04,-0.91,1238.6,2441396300.0,-4920493900.0,236287.0,0.17,11.23,-3990.0,0.0,,,,38.84375,2445451300.0,21.74,-2.31,0.59,68.8,-0.2,-2.12,167597.0,141467571.0,-1.72
20220316,0.0,3.56,24.33,2.63,-2.63,70.2,0.8,3.15,1.44,1241.7,-2703133500.0,-3332093000.0,205511.0,0.15,14.97,-30776.0,0.0,,,,38.71875,6045519200.0,22.33,2.74,-2.74,69.7,0.9,2.63,172006.0,141467571.0,0.0
20220317,2.53,6.44,25.43,4.51,-1.98,70.7,0.6,1.73,1.33,1240.4,18533575500.0,-1891433500.0,202338.0,0.14,15.56,-3173.0,0.0,,,,38.71875,-16677150800.0,23.43,4.9,-2.37,70.3,0.6,4.51,179767.0,141467571.0,2.53
20220318,1.71,0.0,25.45,0.07,1.64,70.3,-0.5,0.58,0.46,1220.6,9268134500.0,-1234366300.0,205912.0,0.15,3.24,3574.0,0.0,,,,39.0,-8042161500.0,23.43,-0.0,1.71,69.8,-0.5,0.07,179890.0,141467571.0,1.71
20220321,0.0,-1.61,25.17,-1.08,1.08,69.9,-0.3,-0.36,-0.77,1211.1,1642529300.0,-556122700.0,1437213.0,1.02,21.65,1231301.0,0.0,,,,39.15625,-1563810400.0,23.13,-1.26,1.26,69.5,-0.3,-1.08,177953.0,141467571.0,0.0
20220322,0.37,1.23,25.4,0.89,-0.52,70.1,0.2,0.14,0.89,1213.7,3061680300.0,771213500.0,1496416.0,1.06,9.12,59203.0,0.0,,,,39.125,-3936455100.0,23.35,0.94,-0.57,69.6,0.1,0.89,179537.0,141467571.0,0.37
20220323,3.72,0.0,25.38,-0.07,3.79,69.0,-1.1,0.57,0.92,1221.4,5120761600.0,6894860000.0,1493887.0,1.06,5.33,-2529.0,0.0,,,,39.21875,-11838338000.0,23.35,0.01,3.71,68.5,-1.1,-0.07,179404.0,141467571.0,3.72
20220324,-0.18,-2.43,24.94,-1.71,1.53,68.5,-0.5,0.14,-0.2,1212.7,-3608075900.0,-3946045200.0,1500934.0,1.06,5.0,7047.0,0.0,,,,39.28125,7685189100.0,22.91,-1.89,1.71,67.9,-0.6,-1.71,176328.0,141467571.0,-0.18
20220325,-0.9,-2.07,24.59,-1.41,0.51,68.3,-0.2,-0.77,0.01,1219.4,2423427100.0,-1144460500.0,1516734.0,1.07,8.47,15800.0,0.0,,,,39.25,-1512630000.0,22.55,-1.59,0.69,67.7,-0.2,-1.41,173850.0,141467571.0,-0.9
20220328,2.9,0.0,24.6,0.04,2.86,67.4,-0.9,-0.33,-0.02,1218.3,17896139400.0,3744053900.0,1463742.0,1.03,6.41,-52992.0,0.0,,,,39.28125,-21749015500.0,22.56,0.04,2.86,66.8,-0.9,0.04,173915.0,141467571.0,2.9
20220329,1.41,1.69,24.89,1.16,0.25,67.3,-0.1,0.7,0.42,1225.7,-6258446500.0,4952718300.0,1224277.0,0.87,1.4,-239465.0,0.0,,,,39.5,1226137700.0,22.85,1.32,0.09,66.8,0.0,1.16,175926.0,141467571.0,1.41
20220330,-2.26,0.83,25.03,0.58,-2.84,68.2,0.9,0.66,0.21,1220.5,-5517276300.0,1356901400.0,1248382.0,0.88,6.91,24105.0,0.0,,,,39.40625,3941418400.0,22.99,0.61,-2.87,67.7,0.9,0.58,176949.0,141467571.0,-2.26
20220331,1.07,-2.48,24.6,-1.73,2.8,67.3,-0.9,-0.91,0.4,1210.8,4644746100.0,-626903000.0,1166686.0,0.82,8.65,-81696.0,0.0,,,,39.34375,-3812247300.0,22.56,-1.9,2.97,66.7,-1.0,-1.73,173887.0,141467571.0,1.07
20220401,-0.88,-1.69,24.33,-1.18,0.3,67.3,-0.1,-1.03,-0.65,1210.7,2830649300.0,-5226475800.0,1002391.0,0.71,1.9,-164295.0,0.0,,,,39.375,2637368500.0,22.26,-1.3,0.42,66.6,-0.1,-1.1,171970.0,141467571.0,-0.88
20220404,-0.18,0.86,24.48,0.64,-0.82,67.5,0.3,0.37,0.66,1216.1,851745100.0,-929587600.0,971917.0,0.69,2.22,-30474.0,0.0,,,,39.375,382322600.0,22.41,0.65,-0.83,66.9,0.3,0.64,173077.0,141467571.0,-0.18
20220405,0.53,-0.43,24.43,-0.24,0.77,67.3,-0.2,0.46,0.05,1216.7,4006794400.0,-1802933700.0,948843.0,0.67,1.4,-23074.0,0.0,,,,39.375,-2177902800.0,22.33,-0.34,0.87,66.6,-0.3,-0.24,172655.0,141467571.0,0.53
20220406,0.35,-3.0,23.9,-2.16,2.51,66.4,-0.8,-2.67,-0.88,1212.6,8541573800.0,-10959804400.0,880186.0,0.62,1.49,-68657.0,0.0,,,,39.46875,2243877200.0,21.82,-2.3,2.65,65.7,-0.9,-2.16,168923.0,141467571.0,0.35
20220407,-2.29,0.44,23.94,0.18,-2.47,67.3,0.8,-0.16,-1.43,1219.1,2741131200.0,-7123833200.0,937336.0,0.66,7.77,57150.0,0.0,,,,39.5,5153416200.0,21.9,0.38,-2.67,66.6,0.9,0.18,169219.0,141467571.0,-2.29
20220408,1.44,-1.32,23.73,-0.88,2.32,66.5,-0.8,0.62,0.17,1218.5,4481176700.0,-3672892700.0,954463.0,0.67,7.25,17127.0,0.0,,,,39.59375,-985016900.0,21.67,-1.03,2.47,65.8,-0.8,-0.88,167727.0,141467571.0,1.44
20220411,-0.18,-0.45,23.65,-0.35,0.17,66.4,-0.0,-1.64,-0.27,1224.0,4101856400.0,-2775035700.0,865331.0,0.61,7.58,-89132.0,0.0,,,,39.625,-1361391200.0,21.6,-0.35,0.17,65.7,-0.1,-0.35,167146.0,141467571.0,-0.18
20220412,-1.25,-0.45,23.56,-0.37,-0.88,66.7,0.3,0.19,-0.98,1232.0,2090625000.0,-2014771500.0,794629.0,0.56,15.98,-70702.0,0.0,,,,39.59375,42840100.0,21.53,-0.33,-0.92,66.0,0.3,-0.37,166528.0,141467571.0,-1.25
20220413,2.89,1.8,23.86,1.26,1.63,66.2,-0.5,0.83,1.86,1236.6,9559631600.0,1252002200.0,813720.0,0.58,8.79,19091.0,0.0,,,,39.59375,-10836451200.0,21.82,1.37,1.52,65.5,-0.5,1.26,168634.0,141467571.0,2.89
20220414,0.88,-2.65,23.42,-1.84,2.72,65.3,-0.9,-0.68,0.01,1227.7,6086253800.0,-1237106100.0,716829.0,0.51,6.59,-96891.0,0.0,,,,39.71875,-5818156700.0,21.38,-2.01,2.89,64.5,-1.0,-1.84,165537.0,141467571.0,0.88
20220415,-0.7,-1.82,23.13,-1.23,0.53,65.1,-0.2,-1.02,-0.76,1224.2,-3186156000.0,3295388300.0,804122.0,0.57,14.17,87293.0,0.0,,,,39.8125,-219530600.0,21.09,-1.35,0.65,64.2,-0.3,-1.23,163498.0,141467571.0,-0.7
20220418,-2.45,0.93,23.27,0.62,-3.07,66.1,1.1,1.01,-0.11,1230.1,-4934587000.0,-858409500.0,906826.0,0.64,11.31,102704.0,0.0,,,,39.78125,5690135400.0,21.24,0.69,-3.14,65.4,1.2,0.62,164517.0,141467571.0,-2.45
20220419,1.44,3.21,23.78,2.19,-0.75,66.4,0.2,2.72,0.95,1232.8,4685271500.0,251311600.0,940011.0,0.66,9.73,33185.0,0.0,,,,39.59375,-4848098600.0,21.75,2.4,-0.96,65.7,0.3,2.19,168125.0,141467571.0,1.44
