date,hynix_value,other_listed_value_mtm,listed_value_mtm,unlisted_value,netcash_value,unlisted_src_q,netcash_src_q,nav_basis,other_listed_value_frozen,nav_mtm,nav_company,skq_close,skq_shares,skq_shares_basis,skq_market_cap,nav_per_share_mtm,nav_discount_pct_mtm,nav_per_share_company,nav_discount_pct_company,nav_mtm_trillion,nav_company_trillion
20251107,84738000000000.0,493612707399.0,85231612707399.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,90474112707399.0,90529154781590.0,279000.0,132540858,"2025-04-01 소각 1,007,198주",36978899382000.0,682613.0,59.13,683028.0,59.15,90.4741,90.5292
20251110,88536600000000.0,505928606845.0,89042528606845.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,94285028606845.0,94327754781590.0,290000.0,132540858,"2025-04-01 소각 1,007,198주",38436848820000.0,711366.0,59.23,711688.0,59.25,94.285,94.3278
20251111,90435900000000.0,506641233695.0,90942541233696.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,96185041233696.0,96227054781590.0,311500.0,132540858,"2025-04-01 소각 1,007,198주",41286477267000.0,725701.0,57.08,726018.0,57.09,96.185,96.2271
20251112,90143700000000.0,500919634364.0,90644619634364.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,95887119634364.0,95934854781590.0,322500.0,132540858,"2025-04-01 소각 1,007,198주",42744426705000.0,723453.0,55.42,723813.0,55.44,95.8871,95.9349
20251113,89413200000000.0,488097548190.0,89901297548190.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,95143797548190.0,95204354781590.0,323500.0,132540858,"2025-04-01 소각 1,007,198주",42876967563000.0,717845.0,54.93,718302.0,54.96,95.1438,95.2044
20251114,81816000000000.0,469283947339.0,82285283947339.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,87527783947339.0,87607154781590.0,291000.0,132540858,"2025-04-01 소각 1,007,198주",38569389678000.0,660383.0,55.93,660982.0,55.97,87.5278,87.6072
20251117,88536600000000.0,469376027321.0,89005976027321.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,94248476027321.0,94327754781590.0,304500.0,132540858,"2025-04-01 소각 1,007,198주",40358691261000.0,711090.0,57.18,711688.0,57.21,94.2485,94.3278
20251118,83277000000000.0,465626476248.0,83742626476248.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,88985126476248.0,89068154781590.0,283500.0,132540858,"2025-04-01 소각 1,007,198주",37575333243000.0,671379.0,57.77,672005.0,57.81,88.9851,89.0682
20251119,82108200000000.0,473315386834.0,82581515386834.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,87824015386834.0,87899354781590.0,283000.0,132540858,"2025-04-01 소각 1,007,198주",37509062814000.0,662618.0,57.29,663187.0,57.33,87.824,87.8994
20251120,83423100000000.0,470262224041.0,83893362224041.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,89135862224041.0,89214254781590.0,293500.0,132540858,"2025-04-01 소각 1,007,198주",38900741823000.0,672516.0,56.36,673108.0,56.4,89.1359,89.2143
20251121,76118100000000.0,432629458365.0,76550729458365.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,81793229458365.0,81909254781590.0,266000.0,132540858,"2025-04-01 소각 1,007,198주",35255868228000.0,617117.0,56.9,617992.0,56.96,81.7932,81.9093
20251124,75972000000000.0,436374062965.0,76408374062965.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,81650874062965.0,81763154781590.0,276000.0,132087115,"2025-11-24 소각 453,743주",36456043740000.0,618159.0,55.35,619009.0,55.41,81.6509,81.7632
20251125,75825900000000.0,452501394689.0,76278401394689.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,81520901394689.0,81617054781590.0,290500.0,132087115,"2025-11-24 소각 453,743주",38371306907500.0,617175.0,52.93,617903.0,52.99,81.5209,81.6171
20251126,76556400000000.0,456203433841.0,77012603433841.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,82255103433841.0,82347554781590.0,291000.0,132087115,"2025-11-24 소각 453,743주",38437350465000.0,622734.0,53.27,623434.0,53.32,82.2551,82.3476
20251127,79478400000000.0,455019331573.0,79933419331573.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,85175919331573.0,85269554781590.0,301000.0,132087115,"2025-11-24 소각 453,743주",39758221615000.0,644847.0,53.32,645555.0,53.37,85.1759,85.2696
20251128,77433000000000.0,358702482297.0,77791702482297.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,83034202482297.0,83224154781590.0,298000.0,132087115,"2025-11-24 소각 453,743주",39361960270000.0,628632.0,52.6,630070.0,52.7,83.0342,83.2242
20251201,78601800000000.0,364989625228.0,78966789625228.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,84209289625228.0,84392954781590.0,302000.0,132087115,"2025-11-24 소각 453,743주",39890308730000.0,637528.0,52.63,638919.0,52.73,84.2093,84.393
20251202,81523800000000.0,357396003994.0,81881196003994.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,87123696003994.0,87314954781590.0,308500.0,132087115,"2025-11-24 소각 453,743주",40748874977500.0,659593.0,53.23,661041.0,53.33,87.1237,87.315
20251203,80647200000000.0,358299318543.0,81005499318543.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,86247999318543.0,86438354781590.0,310500.0,132087115,"2025-11-24 소각 453,743주",41013049207500.0,652963.0,52.45,654404.0,52.55,86.248,86.4384
20251204,79186200000000.0,362650416324.0,79548850416324.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,84791350416324.0,84977354781590.0,312500.0,132087115,"2025-11-24 소각 453,743주",41277223437500.0,641935.0,51.32,643343.0,51.43,84.7914,84.9774
20251205,79478400000000.0,395370832788.0,79873770832788.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,85116270832788.0,85269554781590.0,302000.0,132087115,"2025-11-24 소각 453,743주",39890308730000.0,644395.0,53.13,645555.0,53.22,85.1163,85.2696
20251208,84299700000000.0,384099621168.0,84683799621168.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,89926299621168.0,90090854781590.0,322000.0,132087115,"2025-11-24 소각 453,743주",42532051030000.0,680811.0,52.7,682056.0,52.79,89.9263,90.0909
20251209,82692600000000.0,387445242079.0,83080045242079.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,88322545242079.0,88483754781590.0,323000.0,132087115,"2025-11-24 소각 453,743주",42664138145000.0,668669.0,51.7,669889.0,51.78,88.3225,88.4838
20251210,85760700000000.0,387948567482.0,86148648567482.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,91391148567482.0,91551854781590.0,324000.0,132087115,"2025-11-24 소각 453,743주",42796225260000.0,691901.0,53.17,693117.0,53.25,91.3911,91.5519
20251211,82546500000000.0,377872656265.0,82924372656265.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,88166872656265.0,88337654781590.0,307500.0,132087115,"2025-11-24 소각 453,743주",40616787862500.0,667490.0,53.93,668783.0,54.02,88.1669,88.3377
20251212,83423100000000.0,376025961389.0,83799125961389.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,89041625961389.0,89214254781590.0,308000.0,132087115,"2025-11-24 소각 453,743주",40682831420000.0,674113.0,54.31,675420.0,54.4,89.0416,89.2143
20251215,80939400000000.0,370570048005.0,81309970048005.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,86552470048005.0,86730554781590.0,292500.0,132087115,"2025-11-24 소각 453,743주",38635481137500.0,655268.0,55.36,656616.0,55.45,86.5525,86.7306
20251216,77433000000000.0,351719336797.0,77784719336797.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,83027219336797.0,83224154781590.0,281000.0,132087115,"2025-11-24 소각 453,743주",37116479315000.0,628579.0,55.3,630070.0,55.4,83.0272,83.2242
20251217,80501100000000.0,367759142671.0,80868859142671.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,86111359142671.0,86292254781590.0,283000.0,132087115,"2025-11-24 소각 453,743주",37380653545000.0,651929.0,56.59,653298.0,56.68,86.1114,86.2923
20251218,80647200000000.0,350496294396.0,80997696294396.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,86240196294396.0,86438354781590.0,290500.0,132087115,"2025-11-24 소각 453,743주",38371306907500.0,652904.0,55.51,654404.0,55.61,86.2402,86.4384
20251219,79916700000000.0,352735742767.0,80269435742767.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,85511935742767.0,85707854781590.0,290500.0,132087115,"2025-11-24 소각 453,743주",38371306907500.0,647390.0,55.13,648874.0,55.23,85.5119,85.7079
