date,fut_listed,fut_basis,fut_basis_pct,fut_volume
20240423,1,-900,-1.09,8018
20240424,1,-200,-0.234,8095
20240425,1,-1100,-1.414,22181
20240426,1,-1600,-1.985,15502
20240429,1,-800,-1.015,5656
20240430,1,-1000,-1.307,6818
20240502,1,,,7399
20240503,1,-75800,-101.337,12269
20240507,1,-200,-0.26,12280
20240508,1,-79100,-100.636,17216
20240509,1,,,7254
20240510,1,900,1.119,22513
20240513,1,600,0.724,11944
20240514,1,-100,-0.127,5937
20240516,1,600,0.742,9543
20240517,1,100,0.122,6356
20240520,1,-200,-0.248,8893
20240521,1,-200,-0.244,7509
20240522,1,800,0.976,5904
20240523,1,700,0.84,11899
20240524,1,-700,-0.82,18727
20240527,1,0,0.0,9562
20240528,1,300,0.36,7284
20240529,1,0,0.0,9038
20240530,1,100,0.126,11487
20240531,1,-1500,-1.933,23095
20240603,1,0,0.0,6819
20240604,1,-800,-1.035,8064
20240605,1,-400,-0.521,16641
20240607,1,-700,-0.8,20207
20240610,1,-1500,-1.67,37410
20240611,1,500,0.568,16001
20240612,1,-200,-0.223,11713
20240613,1,0,0.0,19632
20240614,1,900,0.985,14614
20240617,1,0,0.0,6520
20240618,1,400,0.428,8087
20240619,1,-1300,-1.32,16284
20240620,1,300,0.306,13300
20240621,1,-1200,-1.231,7153
20240624,1,-500,-0.548,9514
20240625,1,-1600,-1.674,9736
20240626,1,-600,-0.587,9578
20240627,1,-1200,-1.174,11586
20240628,1,-100,-0.1,12086
20240701,1,500,0.498,9267
20240702,1,500,0.524,9500
20240703,1,400,0.415,13042
20240704,1,-700,-0.719,13363
20240705,1,700,0.672,19012
20240708,1,-400,-0.388,7461
20240709,1,-103000,-99.806,17070
20240710,1,-300,-0.291,7763
20240711,1,-400,-0.375,4863
20240712,1,100,0.095,9199
20240715,1,-400,-0.379,10590
20240716,1,-1700,-1.611,9653
20240717,1,-1000,-1.03,14954
20240718,1,1000,1.124,23986
20240719,1,-200,-0.227,6589
20240722,1,600,0.7,14236
20240723,1,500,0.59,9920
20240724,1,200,0.239,9494
20240725,1,100,0.124,12183
20240726,1,-500,-0.6,7747
20240729,1,300,0.355,8708
20240730,1,-1000,-1.218,7980
20240731,1,-1400,-1.624,9122
20240801,1,-700,-0.84,11935
20240802,1,900,1.186,13170
20240805,1,-2500,-3.551,15565
20240806,1,-900,-1.21,17990
20240807,1,700,0.931,11530
20240808,1,-300,-0.416,13995
20240809,1,-400,-0.528,7637
20240812,1,700,0.907,7481
20240813,1,1900,2.439,9976
20240814,1,1000,1.215,11292
20240816,1,100,0.114,14142
20240819,1,300,0.348,11367
20240820,1,-600,-0.672,8936
20240821,1,400,0.476,10738
20240822,1,-1400,-1.651,10403
20240823,1,100,0.123,10251
20240826,1,300,0.375,9352
20240827,1,0,0.0,10035
20240828,1,700,0.857,15693
20240829,1,500,0.651,25616
20240830,1,900,1.146,16147
20240902,1,100,0.127,9209
20240903,1,-1000,-1.25,12275
20240904,1,700,0.96,16804
20240905,1,-700,-0.962,11978
20240906,1,600,0.847,10726
20240909,1,400,0.567,19420
20240910,1,-71400,-99.721,16379
20240911,1,800,1.103,13843
20240912,1,300,0.388,16948
20240913,1,600,0.779,13547
20240919,1,200,0.275,32402
20240920,1,100,0.132,16068
20240923,1,-1200,-1.511,14615
20240924,1,-900,-1.086,13057
20240925,1,900,1.169,18204
20240926,1,600,0.702,25328
20240927,1,-200,-0.235,15800
20240930,1,800,0.99,13678
20241002,1,0,0.0,19262
20241004,1,800,1.018,11169
20241007,1,-80800,-99.753,11289
20241008,1,200,0.248,10869
20241010,1,-1700,-2.021,15838
20241011,1,400,0.473,8104
20241014,1,-100,-0.116,13683
20241015,1,-100,-0.116,14335
20241016,1,1000,1.176,29524
20241017,1,600,0.69,16014
20241018,1,500,0.566,14590
20241021,1,500,0.577,13645
20241022,1,600,0.693,13628
20241023,1,500,0.543,14187
20241024,1,800,0.889,15535
20241025,1,300,0.314,21605
20241028,1,600,0.647,13062
20241029,1,100,0.111,9462
20241030,1,600,0.67,9098
20241031,1,0,0.0,15108
20241101,1,-100,-0.119,10893
20241104,1,-700,-0.78,10078
20241105,1,200,0.224,13917
20241106,1,-100,-0.108,16107
20241107,1,200,0.216,10483
20241108,1,500,0.526,13664
20241111,1,100,0.108,9378
20241112,1,200,0.223,12343
20241113,1,-100,-0.117,10413
20241114,1,200,0.255,16679
20241115,1,-100,-0.129,15950
20241118,1,-500,-0.635,14690
20241119,1,100,0.128,5702
20241120,1,800,1.003,13776
20241121,1,800,0.995,9452
20241122,1,-300,-0.343,31047
20241125,1,-300,-0.342,9964
20241126,1,400,0.473,8734
20241127,1,-800,-0.996,18310
20241128,1,0,0.0,18824
20241129,1,500,0.68,9196
20241202,1,600,0.823,11620
20241203,1,100,0.131,11185
20241204,1,800,1.065,10452
20241205,1,-500,-0.634,14017
20241206,1,300,0.378,9760
20241209,1,800,1.015,9451
20241210,1,-78000,-99.744,13785
20241211,1,-600,-0.758,9735
20241212,1,300,0.364,8422
20241213,1,100,0.12,6675
20241216,1,-200,-0.232,8839
20241217,1,700,0.806,10315
20241218,1,300,0.351,5897
20241219,1,-200,-0.243,11008
20241220,1,400,0.507,7714
20241223,1,-100,-0.122,8614
20241224,1,300,0.369,5771
20241226,1,700,0.865,4804
20241227,1,600,0.751,11958
20241230,1,1400,1.765,7059
20250102,1,100,0.127,9297
20250103,1,600,0.711,17474
20250106,1,-100,-0.107,14622
20250107,1,300,0.322,12128
20250108,1,600,0.638,14270
20250109,1,800,0.853,8634
20250110,1,400,0.422,13260
20250113,1,300,0.329,10813
20250114,1,0,0.0,8576
20250115,1,500,0.551,12391
20250116,1,600,0.637,13195
20250117,1,200,0.206,16569
20250120,1,-400,-0.419,10637
20250121,1,0,0.0,12558
20250122,1,-800,-0.794,14721
20250123,1,-100,-0.101,13971
20250124,1,-600,-0.601,11166
20250131,1,-1200,-1.275,14853
20250203,1,-300,-0.342,18199
20250204,1,-1000,-1.127,14474
20250205,1,-800,-0.864,8306
20250206,1,-300,-0.305,14556
20250207,1,0,0.0,10631
20250210,1,-200,-0.215,11241
20250211,1,-100,-0.107,6454
20250212,1,800,0.843,8988
20250213,1,700,0.718,12139
20250214,1,0,0.0,11286
20250217,1,500,0.501,11450
20250218,1,0,0.0,15559
20250219,1,700,0.671,13148
20250220,1,300,0.297,7018
20250221,1,-100,-0.1,6355
20250224,1,-500,-0.511,8767
20250225,1,700,0.738,7874
20250226,1,-100,-0.104,10933
20250227,1,0,0.0,9386
20250228,1,-2000,-2.22,12420
20250304,1,-300,-0.337,11158
20250305,1,200,0.22,10510
20250306,1,300,0.333,8573
20250307,1,200,0.224,9767
20250310,1,-300,-0.336,6725
20250311,1,800,0.912,12586
20250312,1,0,0.0,10309
20250313,1,-1400,-1.518,11880
20250314,1,-300,-0.321,5836
20250317,1,-300,-0.321,6186
20250318,1,0,0.0,8038
20250319,1,200,0.211,8005
20250320,1,-100,-0.101,9899
20250321,1,100,0.099,12900
20250324,1,200,0.199,7263
20250325,1,100,0.1,10905
20250326,1,0,0.0,6904
20250327,1,0,0.0,8094
20250328,1,0,0.0,8611
20250331,1,600,0.642,10880
20250401,1,500,0.538,12493
20250402,1,200,0.215,16031
20250403,1,0,0.0,14722
20250404,1,-200,-0.229,20557
20250407,1,300,0.388,18827
20250408,1,1000,1.276,21114
20250409,1,700,0.931,14121
20250410,1,-400,-0.467,14533
20250411,1,400,0.47,7342
20250414,1,600,0.713,6060
20250415,1,100,0.119,4798
20250416,1,200,0.245,7533
20250417,1,200,0.244,4638
20250418,1,100,0.121,2553
20250421,1,0,0.0,5786
20250422,1,200,0.245,3865
20250423,1,-300,-0.351,4603
20250424,1,200,0.239,4551
20250425,1,-600,-0.669,12280
20250428,1,-100,-0.115,5255
20250429,1,-200,-0.229,3848
20250430,1,-900,-1.012,3913
20250502,1,400,0.438,9068
20250507,1,100,0.108,6790
20250508,1,-92600,-99.57,12245
20250509,1,-200,-0.213,9612
20250512,1,-500,-0.525,4436
20250513,1,-800,-0.801,11313
20250514,1,0,0.0,7901
20250515,1,0,0.0,11398
20250516,1,-100,-0.097,6065
20250519,1,0,0.0,6029
20250520,1,-100,-0.099,8053
20250521,1,0,0.0,6305
20250522,1,200,0.203,9182
20250523,1,-500,-0.505,5836
20250526,1,-1500,-1.463,7916
20250527,1,300,0.299,8291
20250528,1,-500,-0.462,18713
20250529,1,-200,-0.177,12771
20250530,1,-600,-0.523,16062
20250602,1,100,0.091,8928
20250604,1,500,0.401,17885
20250605,1,-700,-0.541,13627
20250609,1,0,0.0,11303
20250610,1,100,0.077,8737
20250611,1,200,0.145,10600
20250612,1,-1400,-0.996,13643
20250613,1,500,0.36,15251
20250616,1,-300,-0.2,15826
20250617,1,100,0.065,16391
20250618,1,600,0.404,18270
20250619,1,-400,-0.27,9455
20250620,1,-400,-0.257,12965
20250623,1,600,0.367,22385
20250624,1,-800,-0.442,23249
20250625,1,-800,-0.416,25518
20250626,1,200,0.107,22276
20250627,1,-300,-0.17,24329
20250630,1,100,0.055,17392
20250701,1,-500,-0.27,24147
20250702,1,100,0.057,15407
20250703,1,1000,0.582,10730
