date,year,skq_ret,hynix_ret,divergence,w_hynix,beta_roll120,beta_minus_w_roll120,divergence_slope_roll120
20220526,2022,-0.98,-4.63,2.2,0.6853147545860311,0.4998651487666696,-0.18544960581936148,-0.21722558319973673
20220527,2022,1.1,2.91,-0.88,0.6750543594869262,0.5362567618454763,-0.13879759764144983,-0.17866138082853933
20220530,2022,2.39,0.94,1.72,0.6812255576550362,0.49196554055784675,-0.18926001709718948,-0.222451875665591
20220531,2022,0.42,0.93,-0.25,0.6830687161031112,0.48356181488547245,-0.1995069012176387,-0.2315888813154927
20220602,2022,-2.43,,-1.77,0.6848856874690668,0.48354485428120364,-0.2013408331878631,-0.23193540180912456
20220603,2022,1.73,0.0,1.7,0.6830277538762385,0.49218637011318933,-0.19084138376304915,-0.22375400341400578
20220607,2022,-3.62,,-1.68,0.6828271481987892,0.49056431358306707,-0.19226283461572213,-0.2255580828495382
20220608,2022,1.33,1.92,0.03,0.676802074765792,0.495699050086407,-0.181103024679385,-0.21927370593965645
20220609,2022,1.42,-0.47,1.77,0.6809898967041116,0.48778246250555374,-0.19320743419855785,-0.2273358018118784
20220610,2022,-1.94,-1.9,-0.59,0.6801457406867303,0.49223647293331463,-0.18790926775341565,-0.2228750805290173
20220613,2022,-5.7,-4.35,-2.59,0.6764137103297068,0.5180248057013238,-0.15838890462838295,-0.19694049811255726
20220614,2022,-0.23,0.1,-0.22,0.6677574776107498,0.539047083634645,-0.12871039397610473,-0.17565719293964074
20220615,2022,-2.45,-1.21,-1.48,0.6684767051836428,0.5460092331738539,-0.12246747200978891,-0.16893672685969666
20220616,2022,1.08,-0.51,1.38,0.666844063424755,0.5507216760283532,-0.1161223873964018,-0.16483279764319253
20220617,2022,1.77,-1.03,2.44,0.6654217493629544,0.5533304244333562,-0.11209132492959817,-0.16190844330493512
20220620,2022,-2.9,-1.97,-1.42,0.6630397755991126,0.5416370375459252,-0.12140273805318746,-0.17227182009779898
20220621,2022,-0.72,0.74,-1.25,0.6597386413303982,0.5090044777591156,-0.15073416357128255,-0.20488763114963637
20220622,2022,-2.17,-3.15,0.09,0.6610973255149014,0.5125474223801121,-0.14854990313478933,-0.20122927543544192
20220623,2022,-3.94,-2.17,-2.33,0.6550643245647269,0.5204831530881966,-0.13458117147653026,-0.1934967619803207
20220624,2022,5.0,1.55,3.89,0.651360701803248,0.5362720232551684,-0.11508867854807958,-0.17719289905546942
20220627,2022,2.44,3.71,-0.07,0.6541830828271363,0.5438851379504612,-0.1102979448766751,-0.16860262941888834
20220628,2022,-1.31,0.32,-1.5,0.6618636771582572,0.5425385720205609,-0.11932510513769634,-0.16995234033061601
20220629,2022,-1.57,-1.36,-0.68,0.6627075603184199,0.5345218957929507,-0.1281856645254692,-0.1764936893339736
20220630,2022,-4.17,-3.19,-2.06,0.6595216849157394,0.5469956918494654,-0.11252599306627398,-0.16304241286822532
20220701,2022,-0.26,-3.85,2.27,0.6431597781679549,0.5302183868928821,-0.11294139127507274,-0.17832425643056812
20220704,2022,-1.93,1.83,-3.04,0.6344598465475395,0.5125382033675036,-0.12192164318003595,-0.19548306045331218
20220705,2022,3.53,3.82,1.02,0.6389855852357829,0.5236258364816905,-0.11535974875409238,-0.18305854748108238
20220706,2022,-3.67,-0.43,-3.41,0.6470968230575074,0.5306544489290091,-0.11644237412849823,-0.1755793389481493
20220707,2022,3.94,1.95,2.65,0.6459621688420757,0.5286064607462113,-0.11735570809586438,-0.17679813001882924
20220708,2022,0.51,0.96,-0.16,0.6501977378355814,0.5393807019642778,-0.11081703587130365,-0.16601250871739245
20220711,2022,0.0,-1.16,0.77,0.6520922657386141,0.5337662393061376,-0.11832602643247647,-0.17145281550584346
20220712,2022,-0.75,-0.43,-0.43,0.6495455766068502,0.5389410678381298,-0.11060450876872041,-0.16631831924040386
20220713,2022,2.78,0.75,2.29,0.6488795484033134,0.545626677165294,-0.1032528712380194,-0.15966312991674594
20220714,2022,-1.97,0.0,-1.98,0.6505881828773813,0.5469439033975456,-0.10364427947983568,-0.1579066624731394
20220715,2022,1.38,5.0,-1.85,0.6505399785905001,0.5380881847346798,-0.11245179385582027,-0.16422794938704735
20220718,2022,1.49,2.33,-0.07,0.6616931357131696,0.540947117843439,-0.1207460178697306,-0.16119282129148726
20220719,2022,-1.34,-0.99,-0.69,0.6666896305468122,0.5451088012389592,-0.12158082930785297,-0.156967874428183
20220720,2022,2.72,2.0,1.37,0.6643972093200595,0.5528901112484734,-0.1115070980715861,-0.14820501461479527
20220721,2022,0.6,0.49,0.27,0.6686332303460206,0.5539100025232426,-0.114723227822778,-0.1472133583906296
20220722,2022,-1.44,-2.44,0.18,0.6697050315411783,0.5490383715696926,-0.12066665997148573,-0.15151120937816537
20220725,2022,1.09,0.0,1.07,0.6641332037029115,0.5499572806241276,-0.11417592307878388,-0.15061540155527314
20220726,2022,0.0,0.5,-0.32,0.6640264336775681,0.536686876478976,-0.12733955719859213,-0.16319608617131667
20220727,2022,2.16,-0.5,2.45,0.6652343232830089,0.5696023550159862,-0.0956319682670227,-0.12831889763412743
20220728,2022,0.47,-0.6,0.9,0.6638276956424329,0.5688315811245076,-0.09499611451792533,-0.12908600266541145
20220729,2022,0.12,-1.51,1.11,0.6626666501198063,0.5649627486118165,-0.0977039015079898,-0.13274184769899297
20220801,2022,-0.7,-0.82,-0.15,0.659174787957019,0.5712617368868633,-0.08791305107015568,-0.12637965644070692
20220802,2022,-2.94,-0.62,-2.48,0.6573723082279876,0.5739590821568467,-0.08341322607114099,-0.12359764871083077
20220803,2022,1.46,1.04,0.75,0.6563191691577139,0.5730290817650069,-0.08329008739270705,-0.12438038774474452
20220804,2022,0.48,0.0,0.44,0.6584263205854777,0.6086363315805079,-0.04978998900496978,-0.08875586735082458
20220805,2022,1.55,1.03,0.85,0.6581563206234118,0.618078833116372,-0.040077487507039766,-0.07947939082309131
20220808,2022,0.82,-2.23,2.17,0.6603036232677674,0.6142466109871578,-0.046057012280609544,-0.08253950629019562
20220809,2022,-1.86,-1.25,-1.11,0.6543628709198719,0.594245242607785,-0.06011762831208689,-0.10068654012140403
20220810,2022,0.24,-3.47,2.51,0.651063098376482,0.5543552211051961,-0.09670787727128594,-0.13835878707530308
20220811,2022,3.43,1.63,2.37,0.6430613726294843,0.5728299257859,-0.07023144684358429,-0.11943471161261594
20220812,2022,-1.14,0.0,-1.17,0.6467066379603486,0.5732599071597247,-0.0734467308006238,-0.11906927020212076
20220816,2022,1.04,,-1.34,0.6465436742606818,0.5797467773290725,-0.06679689693160928,-0.11254765149383333
20220817,2022,0.11,0.41,-0.15,0.6545489251052298,0.5784401139959585,-0.07610881110927126,-0.11359039517970837
20220818,2022,-0.34,-1.44,0.65,0.6555815045231971,0.5749526976470926,-0.08062880687610452,-0.11703608902072442
20220819,2022,-1.49,0.73,-1.93,0.6525722690981256,0.5574815549973027,-0.09509071410082293,-0.1323380329097577
20220822,2022,-4.07,-1.24,-3.13,0.6544508635504148,0.5602780763616576,-0.09417278718875721,-0.12961758680666607
20220823,2022,-1.94,-1.68,-0.71,0.6524101677587025,0.56678390083454,-0.08562626692416253,-0.1232720035538543
20220824,2022,0.25,-0.43,0.5,0.6494431248192989,0.5665494008584541,-0.08289372396084482,-0.12348227910421425
20220825,2022,1.23,0.97,0.48,0.6483024081158487,0.5677594771332166,-0.0805429309826321,-0.12152784606276497
20220826,2022,0.24,1.06,-0.41,0.64970628265272,0.5541745443072579,-0.09553173834546214,-0.1343223649779085
20220829,2022,-3.65,-2.73,-1.72,0.6523671595582006,0.5483676528303706,-0.10399950672782998,-0.1386366589289852
20220830,2022,0.38,0.76,-0.15,0.6470517594989681,0.5432880309146859,-0.10376372858428218,-0.14372044827828404
20220831,2022,1.89,2.15,0.46,0.6485364502116996,0.5471295243453872,-0.10140692586631239,-0.13968962751154032
20220901,2022,-2.72,-2.94,-0.72,0.6531316720457211,0.5559676753166586,-0.09716399672906251,-0.13060660376539576
20220902,2022,-0.89,-0.76,-0.38,0.6468488991230329,0.5596422537448086,-0.08720664537822431,-0.12680367018159588
20220905,2022,0.0,-0.65,0.4,0.6452364874061329,0.5593374938875396,-0.08589899351859331,-0.12680363338093198
20220906,2022,2.94,0.77,2.43,0.6435799554304938,0.581519431960342,-0.062060523470151896,-0.1029189901769849
20220907,2022,-0.87,-1.53,0.19,0.6452374248794595,0.6019441956170419,-0.04329322926241752,-0.0805801813369057
20220908,2022,5.65,0.0,5.63,0.6421833673294386,0.6043334416384235,-0.037849925691015085,-0.07816061493454217
20220913,2022,3.09,,-0.08,0.6420563338020169,0.6076458154555437,-0.03441051834647313,-0.0749591869834321
20220914,2022,-1.73,-1.9,-0.43,0.6526248186868582,0.6117637391810157,-0.0408610795058425,-0.0705611127914704
20220915,2022,-0.12,-1.08,0.56,0.6486894981125032,0.6082265771094033,-0.040462921003099894,-0.07398976281403849
20220916,2022,-2.0,-0.87,-1.44,0.6460781450269144,0.6178937413444877,-0.028184403682426695,-0.06402339164315522
20220919,2022,-2.28,-1.32,-1.32,0.6440581563444687,0.6238330760999914,-0.020225080244477334,-0.05828160695782344
20220920,2022,-1.47,-2.22,-0.06,0.6417139960917212,0.6221198515911804,-0.019594144500540756,-0.05937380965499389
20220921,2022,-1.49,0.0,-1.46,0.6364354645820298,0.6189555051718127,-0.017479959410217072,-0.062423501120978254
20220922,2022,-0.38,-2.27,1.07,0.6366196710612809,0.6212523229844226,-0.015367348076858356,-0.05949785268861272
20220923,2022,-1.14,-2.91,0.69,0.6313048956436413,0.6313074126104193,2.5169667779989524e-06,-0.04818823125864391
20220926,2022,-5.13,-1.2,-4.1,0.6244040392872472,0.6421487865548017,0.017744747267554484,-0.03774239170975054
20220927,2022,-2.3,-0.61,-1.96,0.6233550255893786,0.6454710882014052,0.022116062612026588,-0.034151301867640704
20220928,2022,0.55,-0.98,1.18,0.6217105876993175,0.6435414583768964,0.02183087067757883,-0.03601805307932541
20220929,2022,-1.65,-0.49,-1.37,0.6195376800433637,0.6610712715690517,0.04153359152568792,-0.017676746255730718
20220930,2022,1.12,2.85,-0.61,0.6182424827615395,0.6604687332309895,0.042226250469450055,-0.016921128465464588
20221004,2022,5.39,,3.11,0.6056326913713931,0.6670243656401881,0.06139167426879499,-0.010434983886173138
20221005,2022,1.97,4.18,-0.56,0.6142043152725302,0.6597236529857865,0.045519337713256336,-0.014584711906836663
20221006,2022,0.26,0.11,0.16,0.6240644596139752,0.6595373487146736,0.03547288910069846,-0.014775182921103676
20221007,2022,-0.13,1.45,-1.02,0.6241533170911331,0.6464725707255488,0.02231925363441567,-0.027236339831228314
20221011,2022,-3.6,,-2.83,0.627595765136175,0.6632472283859702,0.03565146324979518,-0.010220878330702317
20221012,2022,1.73,4.21,-0.96,0.6255458048864225,0.6567471183125342,0.031201313426111654,-0.015401163941120604
20221013,2022,-0.13,0.96,-0.65,0.6347978451957241,0.6626603395846655,0.027862494388941395,-0.00916908750802287
20221014,2022,0.79,0.63,0.25,0.6375328657648118,0.6680238417481582,0.03049097598334638,-0.0036475041537308178
20221017,2022,2.6,-0.31,2.82,0.6380950551930208,0.6668271874226609,0.028732132229640106,-0.004835270824108142
20221018,2022,0.0,0.63,-0.43,0.6375002910685736,0.667577088467659,0.03007679739908531,-0.004100031852708493
20221019,2022,-1.65,-3.03,0.31,0.6387404815515615,0.664111527718573,0.02537104616701147,-0.007131563635262046
20221020,2022,-1.42,-2.91,0.48,0.6317998850203222,0.6599418702207283,0.028141985200406006,-0.010559789002663236
20221021,2022,-0.65,0.33,-0.87,0.6252923239243383,0.6728763902364817,0.0475840663121434,0.002366744943401645
20221024,2022,1.71,1.44,0.8,0.6259944795295452,0.6695554583799199,0.04356097885037469,-0.0003008654578384133
20221025,2022,-1.55,1.85,-2.72,0.6292581708202022,0.6586027413579232,0.029344570537720993,-0.011068165254613908
20221026,2022,2.63,0.43,2.38,0.6334835590936616,0.6734544256955552,0.03997086660189364,0.004335272615704238
20221027,2022,0.0,-4.15,2.6,0.6346333257851422,0.6414473374942461,0.006814011709103895,-0.025548155492831025
20221028,2022,-5.77,-7.33,-1.19,0.6245375953329758,0.6572080908335562,0.03267049550058043,-0.004873488135381096
20221031,2022,0.54,-0.84,1.04,0.6065319168524042,0.6552748320717967,0.04874291521939256,-0.006733669087224179
20221101,2022,-0.54,1.45,-1.43,0.6044792022449174,0.649914477309903,0.04543527506498568,-0.011884849424970747
20221102,2022,1.22,0.72,0.78,0.6078628732985684,0.654410397086149,0.04654752378758065,-0.007398716180876727
20221103,2022,-0.94,-2.13,0.39,0.6095450998680759,0.6570276759385589,0.04748257607048301,-0.003957001028193516
20221104,2022,-0.68,2.18,-2.03,0.6046083759241503,0.6513745603984762,0.0467661844743259,-0.009161375982563459
20221107,2022,4.1,2.37,2.66,0.6095330085025331,0.6588777299645757,0.04934472146204261,-0.0006957210265353427
20221108,2022,1.18,1.39,0.31,0.6151222704162487,0.6533711872529979,0.03824891683674925,-0.0053640248944447095
20221109,2022,1.43,1.71,0.37,0.6182722097717083,0.6594931546978733,0.041220944926165015,0.0011446151655370644
20221110,2022,0.0,-0.11,0.07,0.6222334465401358,0.6645953244805708,0.042361877940435,0.0065249247112428065
20221111,2022,4.35,4.94,1.24,0.6219540239534802,0.6748262228252921,0.05287219887181194,0.018190262223748435
20221114,2022,-0.74,-2.78,1.01,0.6330125676382985,0.6722804941591558,0.03926792652085731,0.016527033448504987
20221115,2022,-1.11,0.77,-1.62,0.6263669702423569,0.660140510813101,0.03377354057074411,0.004603951375511782
20221116,2022,1.0,-0.11,1.08,0.6279611578397585,0.659082322781592,0.03112116494183348,0.0036094653140780765
20221117,2022,-3.09,-4.15,-0.47,0.6278006772481783,0.6583624046148847,0.03056172736670637,0.0052404586078354486
20221118,2022,-1.79,0.8,-2.38,0.6179368615383418,0.6540894275739434,0.036152566035601574,0.0008039875609018291
20221121,2022,-3.25,-2.38,-1.71,0.6192358941006202,0.6808854424194755,0.061649548318855274,0.0290485171860355
20221122,2022,-1.61,-1.27,-0.78,0.6139856273008302,0.6883414293870174,0.0743558020861872,0.037174187337017765
20221123,2022,2.18,0.0,2.17,0.6112595304907692,0.6850276287024405,0.0737680982116713,0.03402981061080582
20221124,2022,0.0,2.0,-1.3,0.611218636153634,0.679070453624522,0.06785181747088798,0.02820953037155282
20221125,2022,-0.93,-2.07,0.33,0.6153836105548055,0.6771607536919365,0.06177714313713101,0.026693362448799794
20221128,2022,-1.75,-2.35,-0.26,0.6103413240268224,0.676801042709479,0.06645971868265665,0.026588103179782697
20221129,2022,0.55,0.72,0.09,0.6050334151945113,0.6769962723772603,0.07196285718274908,0.026771271377774422
20221130,2022,2.18,1.55,1.21,0.606590466314354,0.6811344703342864,0.07454400401993244,0.03130049620602253
20221201,2022,0.13,-0.35,0.3,0.6100960407191769,0.6818312829123715,0.0717352421931946,0.03202363371187078
20221202,2022,-1.6,-3.31,0.44,0.6089828975408293,0.6754396721454587,0.0664567746046294,0.026757623056858564
20221205,2022,-1.63,-1.1,-0.98,0.6011181155480257,0.6529602770449787,0.051842161496952976,0.006840636598766868
20221206,2022,-1.79,0.0,-1.74,0.5984154212355483,0.6522304301876124,0.05381500895206415,0.006083930258210697
20221207,2022,-1.26,-2.59,0.27,0.5987283116865108,0.6466841405731009,0.04795582888659011,0.0016549178465376105
20221208,2022,1.14,-0.13,1.23,0.5922733802050765,0.647778047681395,0.05550466747631855,0.0027290728369208732
20221209,2022,0.84,3.43,-1.23,0.59207748683557,0.6415596064991496,0.049482119663579516,-0.0024755197131977992
20221212,2022,0.56,-0.49,0.82,0.5999218711515101,0.6351774084107304,0.03525553725922037,-0.008077133777838228
20221213,2022,-0.83,1.48,-1.71,0.5985262992079119,0.6313789579693141,0.0328526587614022,-0.011531042269247263
20221214,2022,0.28,-0.61,0.63,0.6020847132863202,0.6297975023900184,0.027712789103698232,-0.011644925549256554
20221215,2022,-1.67,-1.96,-0.51,0.6005099809748073,0.620612791489916,0.02010281051510865,-0.019547556862983106
20221216,2022,-0.57,-2.24,0.71,0.5956850851477092,0.6021195403376128,0.0064344551899035984,-0.036920675328253376
20221219,2022,0.57,0.77,0.11,0.5898752241939299,0.6003450661089187,0.010469841914988787,-0.03741420964747171
20221220,2022,-1.56,-0.89,-0.96,0.5916478547257435,0.6035177913705831,0.011869936644839596,-0.03429123289899227
20221221,2022,0.0,-0.38,0.23,0.589950239867194,0.6016827685421899,0.011732528674995968,-0.0360778543398356
20221222,2022,3.31,1.54,2.37,0.5890741725011214,0.5961993326480208,0.007125160146899456,-0.040951288400439684
20221223,2022,-2.79,-1.77,-1.67,0.5925514675720807,0.6192754589309022,0.02672399135882153,-0.01723024516201821
20221226,2022,-0.72,-1.03,-0.07,0.5886614500176114,0.6334800272092285,0.04481857719161708,-0.0032422506830992286
20221227,2022,2.02,0.0,2.0,0.5864143379103551,0.6240758533583172,0.037661515447962035,-0.011882028058129938
20221228,2022,-2.4,-1.3,-1.63,0.5863213118973634,0.6265622242865894,0.040240912389226,-0.00925155231729624
20221229,2022,-2.75,-1.32,-2.91,0.5832237674525862,0.6172961515428611,0.03407238409027491,-0.015726109584809817
20230102,2023,-1.94,,-2.38,0.5841303462501092,0.6175171307105222,0.03338678446041299,-0.015331656490578808
20230103,2023,-2.74,-0.13,-2.65,0.5869926526396714,0.6181638609756918,0.031171208336020384,-0.014598378264170956
20230104,2023,4.53,7.14,0.29,0.5867516759952747,0.620322980982527,0.03357130498725236,-0.00804470340549894
20230105,2023,-0.15,0.49,-0.44,0.6031064623343458,0.6149449566080796,0.011838494273733735,-0.013358590414717325
20230106,2023,1.95,2.09,0.68,0.6043066854779249,0.6191419553686951,0.01483526989077022,-0.00895127778831023
20230109,2023,2.2,3.49,0.0,0.6092083812141017,0.6385830242792668,0.02937464306516513,0.01143157395130872
20230110,2023,1.01,0.58,0.65,0.6168828212054479,0.6396345319089795,0.022751710703531547,0.013043520688496636
20230111,2023,1.28,0.92,0.71,0.618255911469976,0.6401376125769842,0.021881701107008156,0.013603744993747505
20230112,2023,0.98,-0.57,1.35,0.6204659473853027,0.6320904135634275,0.011624466178124848,0.006033314718917175
20230113,2023,-0.28,-1.27,0.48,0.6192087978899216,0.6304485283863043,0.011239730496382716,0.004520658254385475
20230116,2023,-0.42,0.12,-0.54,0.616064274709451,0.6305412883059647,0.014477013596513655,0.005020536659600028
20230117,2023,-0.28,0.23,-0.39,0.6160300271928182,0.6296042244781997,0.013574197285381562,0.004125367000743656
20230118,2023,-0.28,-1.05,0.35,0.6167889184916824,0.629366810360967,0.012577891869284596,0.003957153007368011
20230119,2023,-0.56,0.47,-0.89,0.6142052560682691,0.6296194083587434,0.01541415229047427,0.004135417520416646
20230120,2023,-0.14,2.46,-1.83,0.6150559244837435,0.6208344650063199,0.005778540522576425,-0.005492690084896591
20230125,2023,4.26,,1.35,0.619661992044125,0.6240962392458481,0.0044342472017231405,-0.002102641827991498
20230126,2023,1.77,0.98,1.06,0.6282318767193124,0.6270079011017154,-0.0012239756175969063,0.0006203007180882348
20230127,2023,0.8,-0.87,1.16,0.6299358657297107,0.6223799556415593,-0.007555910088151374,-0.0036529936321645306
20230130,2023,-0.4,-0.87,0.07,0.6267290636245496,0.6198823516566638,-0.006846711967885777,-0.005894778225033753
20230131,2023,-3.46,-2.43,-1.69,0.6241638785248557,0.6289334935782819,0.004769615053426213,0.0019518685414104554
20230201,2023,1.93,3.28,-0.11,0.6200190953150103,0.6258719155101733,0.005852820195162978,-0.0008425220899152329
20230202,2023,0.14,2.19,-1.51,0.6275532202311722,0.6301135325559125,0.0025603123247402992,0.0018239438286208655
20230203,2023,-1.08,-1.28,-0.33,0.6308990247727104,0.6282620341818201,-0.002636990590890287,1.9659838277491397e-05
20230206,2023,-2.05,-3.36,0.22,0.6275262454459983,0.6449018175154776,0.01737557206947926,0.01621075828988046
